股票代码,股票名称,交易所,板块
000635,英 力 特,SZ,深市主板
000636,风华高科,SZ,深市主板
000637,茂化实华,SZ,深市主板
000650,仁和药业,SZ,深市主板
000651,格力电器,SZ,深市主板
000652,泰达股份,SZ,深市主板
000655,金岭矿业,SZ,深市主板
000656,金科股份,SZ,深市主板
000657,中钨高新,SZ,深市主板
000659,珠海中富,SZ,深市主板
000661,长春高新,SZ,深市主板
000663,永安林业,SZ,深市主板
000665,湖北广电,SZ,深市主板
000668,荣丰控股,SZ,深市主板
000670,盈方微,SZ,深市主板
000672,上峰材料,SZ,深市主板
000676,智度股份,SZ,深市主板
000678,襄阳轴承,SZ,深市主板
000679,大连友谊,SZ,深市主板
000680,山推股份,SZ,深市主板
000681,视觉中国,SZ,深市主板
000682,东方电子,SZ,深市主板
000683,博源化工,SZ,深市主板
000685,中山公用,SZ,深市主板
000686,东北证券,SZ,深市主板
000688,国城矿业,SZ,深市主板
000690,宝新能源,SZ,深市主板
000691,亚太实业,SZ,深市主板
000692,惠天热电,SZ,深市主板
000695,滨海能源,SZ,深市主板
000697,炼石航空,SZ,深市主板
000700,模塑科技,SZ,深市主板
000701,厦门信达,SZ,深市主板
000702,正虹科技,SZ,深市主板
000703,恒逸石化,SZ,深市主板
000705,浙江震元,SZ,深市主板
000707,双环科技,SZ,深市主板
000708,中信特钢,SZ,深市主板
000709,河钢股份,SZ,深市主板
000710,贝瑞基因,SZ,深市主板
000712,锦龙股份,SZ,深市主板
000713,国投丰乐,SZ,深市主板
000715,中兴商业,SZ,深市主板
000716,黑芝麻,SZ,深市主板
000717,中南股份,SZ,深市主板
000718,苏宁环球,SZ,深市主板
000719,中原传媒,SZ,深市主板
000720,新能泰山,SZ,深市主板
000721,西安饮食,SZ,深市主板
000722,湖南发展,SZ,深市主板
000723,美锦能源,SZ,深市主板
000725,京东方Ａ,SZ,深市主板
000726,鲁 泰Ａ,SZ,深市主板
000727,冠捷科技,SZ,深市主板
000728,国元证券,SZ,深市主板
000729,燕京啤酒,SZ,深市主板
000731,四川美丰,SZ,深市主板
000733,振华科技,SZ,深市主板
000735,罗 牛 山,SZ,深市主板
000736,中交发展,SZ,深市主板
000737,北方铜业,SZ,深市主板
000738,航发控制,SZ,深市主板
000739,普洛药业,SZ,深市主板
000750,国海证券,SZ,深市主板
000751,锌业股份,SZ,深市主板
000753,漳州发展,SZ,深市主板
000755,山西高速,SZ,深市主板
000756,新华制药,SZ,深市主板
000757,浩物股份,SZ,深市主板
000758,中色股份,SZ,深市主板
000759,中百集团,SZ,深市主板
000761,本钢板材,SZ,深市主板
000762,西藏矿业,SZ,深市主板
000766,通化金马,SZ,深市主板
000767,晋控电力,SZ,深市主板
000768,中航西飞,SZ,深市主板
000776,广发证券,SZ,深市主板
000777,中核科技,SZ,深市主板
000778,新兴铸管,SZ,深市主板
000779,甘咨询,SZ,深市主板
000782,恒申新材,SZ,深市主板
000783,长江证券,SZ,深市主板
000785,居然智家,SZ,深市主板
000786,北新建材,SZ,深市主板
000788,北大医药,SZ,深市主板
000789,万年青,SZ,深市主板
000790,华神科技,SZ,深市主板
000791,甘肃能源,SZ,深市主板
000792,盐湖股份,SZ,深市主板
000795,英洛华,SZ,深市主板
000796,凯撒旅业,SZ,深市主板
000797,中国武夷,SZ,深市主板
000798,中水渔业,SZ,深市主板
000799,酒鬼酒,SZ,深市主板
000800,一汽解放,SZ,深市主板
000801,四川九洲,SZ,深市主板
000802,北京文化,SZ,深市主板
000803,山高环能,SZ,深市主板
000807,云铝股份,SZ,深市主板
000809,和展能源,SZ,深市主板
